S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
362,Central Area,Category 1,>100 - 200,100.65,Q1 2021
363,Central Area,Category 1,>1000,102.26,Q1 2021
364,Central Area,Category 1,>200 - 500,96.88,Q1 2021
365,Central Area,Category 1,>500 - 1000,105.49,Q1 2021
366,Central Area,Category 2,100 & Below,53.68,Q1 2021
367,Central Area,Category 2,>100 - 200,62.32,Q1 2021
368,Central Area,Category 2,>1000,59.21,Q1 2021
369,Central Area,Category 2,>200 - 500,64.58,Q1 2021
370,Central Area,Category 2,>500 - 1000,71.23,Q1 2021
371,Central Area,Category 1,100 & Below,102.27,Q2 2021
372,Central Area,Category 1,>100 - 200,101.71,Q2 2021
373,Central Area,Category 1,>1000,109.36,Q2 2021
374,Central Area,Category 1,>200 - 500,101.18,Q2 2021
375,Central Area,Category 1,>500 - 1000,113.8,Q2 2021
376,Central Area,Category 2,100 & Below,53.49,Q2 2021
377,Central Area,Category 2,>100 - 200,65.67,Q2 2021
378,Central Area,Category 2,>1000,58.16,Q2 2021
379,Central Area,Category 2,>200 - 500,68.53,Q2 2021
380,Central Area,Category 2,>500 - 1000,72.51,Q2 2021
381,Central Area,Category 1,100 & Below,102.22,Q3 2021
382,Central Area,Category 1,>100 - 200,107.64,Q3 2021
383,Central Area,Category 1,>1000,111.95,Q3 2021
384,Central Area,Category 1,>200 - 500,101.72,Q3 2021
385,Central Area,Category 1,>500 - 1000,109.79,Q3 2021
386,Central Area,Category 2,100 & Below,53.6,Q3 2021
387,Central Area,Category 2,>100 - 200,62.22,Q3 2021
388,Central Area,Category 2,>1000,64.58,Q3 2021
389,Central Area,Category 2,>200 - 500,69.97,Q3 2021
390,Central Area,Category 2,>500 - 1000,72.73,Q3 2021
391,Central Area,Category 1,100 & Below,99.04,Q4 2021
392,Central Area,Category 1,>100 - 200,96.93,Q4 2021
393,Central Area,Category 1,>1000,113.02,Q4 2021
394,Central Area,Category 1,>200 - 500,110.34,Q4 2021
395,Central Area,Category 1,>500 - 1000,107.64,Q4 2021
396,Central Area,Category 2,100 & Below,51.86,Q4 2021
397,Central Area,Category 2,>100 - 200,64.58,Q4 2021
398,Central Area,Category 2,>1000,69.96,Q4 2021
399,Central Area,Category 2,>200 - 500,69.96,Q4 2021
400,Central Area,Category 2,>500 - 1000,72.89,Q4 2021
401,Central Area,Category 1,100 & Below,101.18,Q1 2022
402,Central Area,Category 1,>100 - 200,105.48,Q1 2022
403,Central Area,Category 1,>1000,110.61,Q1 2022
404,Central Area,Category 1,>200 - 500,107.64,Q1 2022
405,Central Area,Category 1,>500 - 1000,115.2,Q1 2022
406,Central Area,Category 2,100 & Below,55,Q1 2022
407,Central Area,Category 2,>100 - 200,64.59,Q1 2022
408,Central Area,Category 2,>1000,50.96,Q1 2022
409,Central Area,Category 2,>200 - 500,74.28,Q1 2022
410,Central Area,Category 2,>500 - 1000,69.97,Q1 2022
411,Central Area,Category 1,100 & Below,NA,Q2 2022
412,Central Area,Category 1,>100 - 200,NA,Q2 2022
413,Central Area,Category 1,>1000,NA,Q2 2022
414,Central Area,Category 1,>200 - 500,NA,Q2 2022
415,Central Area,Category 1,>500 - 1000,NA,Q2 2022
416,Central Area,Category 2,100 & Below,NA,Q2 2022
417,Central Area,Category 2,>100 - 200,NA,Q2 2022
418,Central Area,Category 2,>1000,NA,Q2 2022
419,Central Area,Category 2,>200 - 500,NA,Q2 2022
420,Central Area,Category 2,>500 - 1000,NA,Q2 2022
421,Central Area,Category 1,100 & Below,NA,Q3 2022
422,Central Area,Category 1,>100 - 200,NA,Q3 2022
423,Central Area,Category 1,>1000,NA,Q3 2022
424,Central Area,Category 1,>200 - 500,NA,Q3 2022
425,Central Area,Category 1,>500 - 1000,NA,Q3 2022
426,Central Area,Category 2,100 & Below,NA,Q3 2022
427,Central Area,Category 2,>100 - 200,NA,Q3 2022
428,Central Area,Category 2,>1000,NA,Q3 2022
